timestamp,rack_id,temp_C,humidity_%,power_kW,fan_speed_%,airflow_CFM,fault_type
2025-10-11 23:27:09.173475,2,24.42854258457866,45.558082584400275,3.3031545854419577,57.49080237694725,438.3824373195297,normal
2025-10-11 23:29:09.173475,2,24.757486797162922,41.1734395106844,2.48252465024609,53.66809019706868,438.75424941518054,normal
2025-10-11 23:31:09.173475,2,24.52045031035851,43.59331239658518,2.3581138031771283,62.23705789444759,437.410500781515,normal
2025-10-11 23:33:09.173475,2,25.19531746279001,45.22184517941973,2.654701926773309,60.28468876827223,457.51396036691347,normal
2025-10-11 23:35:09.173475,2,24.924079636250443,45.582068002524366,2.8093320779176083,51.30103185970559,429.56895610648803,normal
2025-10-11 23:37:09.173475,2,25.149710241792445,42.558312700057954,3.0626590785014267,59.903538202225405,410.8065975224045,normal
2025-10-11 23:39:09.173475,2,25.3957113013169,42.98182931426979,2.525011735938934,60.934205586865595,465.47400833667365,normal
2025-10-11 23:41:09.173475,2,24.78020048987276,41.47391968927453,3.0972251908184383,57.135066533871786,442.2983543916737,normal
2025-10-11 23:43:09.173475,2,25.61559821470583,46.78866466021752,3.226499339173421,51.491012873595416,445.8566821979085,normal
2025-10-11 23:45:09.173475,2,24.725292592430094,46.95109025424472,2.856247728646413,52.317381190502594,446.28682046672367,normal
2025-10-11 23:47:09.173475,2,25.438367424983717,46.669590838460856,3.0889684152986914,56.21964643431325,429.24340246969035,normal
2025-10-11 23:49:09.173475,2,25.062936434635613,48.07607313293194,2.9892521882670144,64.26489574445989,481.29287311628013,normal
2025-10-11 23:51:09.173475,2,24.742557739748456,42.16249908281719,3.312747485201826,60.45465658763988,468.0706498125169,normal
2025-10-11 23:53:09.173475,2,25.454768412059746,43.9634595634527,2.757451919132044,54.9858445829775,439.9648591283093,normal
2025-10-11 23:55:09.173475,2,25.648324994794493,45.51423374011256,3.0943538687589514,68.59395304685145,477.43724267099554,normal
2025-10-11 23:57:09.173475,2,24.89471604820969,44.344675706804466,2.8823675540603526,67.92182599846987,420.72970103735764,normal
2025-10-11 23:59:09.173475,2,23.510549754628546,44.208967096839416,2.9132589430590174,66.36029531844986,459.0587265306702,normal
2025-10-12 00:01:09.173475,2,25.466219225352518,45.34915562566368,3.0772651172168293,56.464058640415104,448.51108168467664,normal
2025-10-12 00:03:09.173475,2,24.486818130695948,42.854936331128684,2.702224146179043,69.24894589884222,452.0469536509933,normal
2025-10-12 00:05:09.173475,2,24.682726142236856,45.60309468466723,2.989586469088427,60.05358046457723,426.62643924760937,normal
2025-10-12 00:07:09.173475,2,25.115440329975534,43.44932778808611,3.2319422567667746,69.71300908221201,433.96344313300614,normal
2025-10-12 00:09:09.173475,2,26.006466559499685,49.380911251619956,2.7028391024607936,62.64611661187159,438.67404540794456,normal
2025-10-12 00:11:09.173475,2,26.28603979689769,45.01828869148027,2.890338210950237,50.81550283109528,462.98173465258213,normal
2025-10-12 00:13:09.173475,2,23.990448607724673,48.099868810035076,2.7650240122991288,53.48732858009983,443.5587696758865,normal
2025-10-12 00:15:09.173475,2,24.952789524099273,47.08772122183731,3.157934448400409,68.49387236557126,477.2777304883421,normal
2025-10-12 00:17:09.173475,2,26.60146246803613,46.56364574355462,2.6289147867365754,54.83704581800903,423.5908677383145,normal
2025-10-12 00:19:09.173475,2,25.735705746400722,45.45257653899775,3.2542204297729915,64.5191135774048,453.49666023982945,normal
2025-10-12 00:21:09.173475,2,23.91249601542366,46.31310721726766,2.7075954989318034,63.83790395385387,465.741692074849,normal
2025-10-12 00:23:09.173475,2,25.842503272679647,45.8489724881129,3.282160675488603,56.507993963185356,432.6471782004125,normal
