timestep,agent_id,temp_C,fan_speed_%,anomaly_flag,energy_kW,neighbor_adjustment
0,0,24.110495905562463,53.11989040672405,0,3.1275608738757534,-0.44191638783180054
0,1,26.263370252405913,50.41168988591605,0,3.3069738916611637,0.4699098521619943
0,2,24.535297492781186,53.66809019706868,0,2.789932077128741,-0.19575775704046228
0,3,23.620065733989573,62.23705789444759,0,2.775084988303611,-0.36050613934795817
0,4,24.437324958634076,65.70351922786027,0,2.144151737569504,-0.30032621784164026
0,5,24.564493820379855,62.150897038028766,0,3.0443690358839466,-0.32947587631270847
1,0,31.795542149013333,99.31264066149119,1,5.712596022174692,-0.5861586924798879
1,1,30.736932106048627,88.80304987479202,1,4.683057352267168,-0.014469269666189444
1,2,31.637281608315128,85.17559963200034,1,5.493783426530973,-0.5648667717317671
1,3,23.937451160881256,69.39169255529117,0,3.0787444943476494,0.27513282336111455
1,4,25.17491065284309,68.43748470046233,0,3.3527044155794443,-0.4115074979480805
1,5,24.907481374089407,57.77354579378964,0,2.8795585217642845,-0.2286509682261041
2,0,23.922657522110924,60.85392166316497,0,2.6477634935811576,-0.35907577502523735
2,1,24.458462399755234,50.11044234247205,0,3.244670515536347,0.31546142845483416
2,2,25.715465864087008,51.480893034681806,0,3.3019991188978945,-0.1415342714557274
2,3,25.26501074512285,56.617960497052984,0,3.3902180508489437,-0.43644164971397637
2,4,25.94377307576056,62.75114942710427,0,2.6407168242177286,0.38721274257632654
2,5,25.28930882003811,65.21570097233794,0,2.74195209815795,0.06127719756949623
3,0,27.697837002901338,58.55082036717099,0,2.6318436779730496,-0.4745808732559048
3,1,25.069637654590537,56.287119621526536,0,2.880397059813653,0.00857069116470277
3,2,24.572466837061196,65.11102277086097,0,2.4019784516742657,-0.27120183450837754
3,3,29.15900581165507,83.22442574508008,1,5.89454647851386,0.9243611386932509
3,4,25.205693496045022,53.73140117772072,0,3.1258051583452686,0.3925589984899778
3,5,24.43835752489812,54.55870325083883,0,2.868935141360893,-0.07289221137374369
4,0,22.875859161949222,54.442156209414605,0,3.1382071775555067,-0.3801346326663172
4,1,24.870971430667193,60.37581243486732,0,3.1616203427258154,0.20301895889517785
4,2,24.98515935639069,56.017566196335395,0,2.330598151203911,-0.2151595056225324
